source,target,experimental_score
Rpl35,Rpl27,0.918
Rpl35,Rpl27a,0.919
Rpl35,Rpl28,0.91
Rpl35,Rpl29,0.87
Rpl35,Rpl3,0.917
Rpl35,Rpl30,0.918
Rpl35,Rpl31,0.918
Rpl35,Rpl32,0.918
Rpl35,Rpl34,0.888
Rpl35,Rpl35a,0.888
Rpl35,Rpl36a,0.85
Rpl35,Rpl36al,0.892
Rpl35,Rpl37,0.888
Rpl35,Rpl37a,0.888
Rpl35,Rpl38,0.888
Rpl35,Rpl39,0.905
Rpl35,Rpl3l,0.377
Rpl35,Rpl4,0.918
Rpl35,Rpl5,0.917
Rpl35,Rpl6,0.909
Rpl35,Rpl7,0.917
Rpl35,Rpl7a,0.895
Rpl35,Rpl8,0.918
Rpl35,Rpl9,0.859
Rpl35,Rplp0,0.909
Rpl35,Rplp1,0.543
Rpl35,Rplp2,0.553
Rpl35,Rpn1,0.207
Rpl35,Rps10,0.906
Rpl35,Rps11,0.918
Rpl35,Rps12,0.887
Rpl35,Rps13,0.919
Rpl35,Rps14,0.895
Rpl35,Rps15,0.918
Rpl35,Rps15a,0.906
Rpl35,Rps16,0.919
Rpl35,Rps17,0.903
Rpl35,Rps18,0.898
Rpl35,Rps18-ps5,0.322
Rpl35,Rps2,0.91
Rpl35,Rps20,0.918
Rpl35,Rps21,0.918
Rpl35,Rps23,0.918
Rpl35,Rps24,0.918
Rpl35,Rps25,0.918
Rpl35,Rps26,0.888
Rpl35,Rps27,0.859
Rpl35,Rps27a,0.917
Rpl35,Rps27l,0.325
Rpl35,Rps27rt,0.859
Rpl35,Rps28,0.918
Rpl35,Rps29,0.888
Rpl35,Rps3,0.908
Rpl35,Rps3a1,0.908
Rpl35,Rps4x,0.89
Rpl35,Rps5,0.91
Rpl35,Rps6,0.888
Rpl35,Rps7,0.918
Rpl35,Rps8,0.91
Rpl35,Rps9,0.919
Rpl35,Rpsa,0.918
Rpl35,Rrp1b,0.337
Rpl35,Rrs1,0.207
Rpl35,Rsl1d1,0.4
Rpl35,Sec61a1,0.379
Rpl35,Sec61a2,0.379
Rpl35,Sec61b,0.37
Rpl35,Sec61g,0.414
Rpl35,Secisbp2,0.207
Rpl35,Serbp1,0.872
Rpl35,Skiv2l,0.157
Rpl35,Snd1,0.238
Rpl35,Snu13,0.206
Rpl35,Srp14,0.383
Rpl35,Srp19,0.387
Rpl35,Srp54a,0.327
Rpl35,Srp54b,0.327
Rpl35,Srp54c,0.327
Rpl35,Srp68,0.389
Rpl35,Srp72,0.38
Rpl35,Srp9,0.387
Rpl35,Srpr,0.405
Rpl35,Srprb,0.295
Rpl35,Ttc37,0.157
Rpl35,Tufm,0.475
Rpl35,Uba52,0.866
Rpl35,Ubb,0.206
Rpl35,Ubc,0.206
Rpl35,Wdr12,0.39
Rpl35,Zfp593,0.384
Rpl35,Zfp622,0.315
Rpl35a,Abce1,0.441
Rpl35a,Abcf2,0.207
Rpl35a,Brix1,0.512
Rpl35a,Cand1,0.213
Rpl35a,Cdk9,0.292
Rpl35a,Cul1,0.217
Rpl35a,Cul4b,0.218
Rpl35a,Ddx55,0.207
Rpl35a,Dicer1,0.222
Rpl35a,Ebna1bp2,0.512
Rpl35a,Eed,0.292
Rpl35a,Eef1a1,0.157
Rpl35a,Eef2,0.943
Rpl35a,Eefsec,0.267
Rpl35a,Eftud2,0.378
Rpl35a,Eif5b,0.583
Rpl35a,Eif6,0.843
Rpl35a,Etf1,0.303
Rpl35a,Fau,0.977
Rpl35a,Gm10320,0.395
Rpl35a,Gm2000,0.888
Rpl35a,Gm3550,0.457
Rpl35a,Gm6525,0.377
Rpl35a,Gnl3,0.383
Rpl35a,Gspt2,0.207
Rpl35a,Hdgf,0.217
Rpl35a,Lyar,0.267
Rpl35a,Nedd8,0.205
Rpl35a,Nifk,0.56
Rpl35a,Nop2,0.387
Rpl35a,Pes1,0.559
Rpl35a,Rack1,0.943
Rpl35a,Rpf2,0.313
Rpl35a,Rpl10,0.873
Rpl35a,Rpl10a,0.887
Rpl35a,Rpl10l,0.873
Rpl35a,Rpl11,0.938
Rpl35a,Rpl12,0.943
Rpl35a,Rpl13,0.943
Rpl35a,Rpl13a,0.928
Rpl35a,Rpl14,0.943
Rpl35a,Rpl15,0.946
Rpl35a,Rpl17,0.907
Rpl35a,Rpl18,0.938
Rpl35a,Rpl18a,0.938
Rpl35a,Rpl19,0.938
Rpl35a,Rpl21,0.938
Rpl35a,Rpl22,0.925
Rpl35a,Rpl22l1,0.615
Rpl35a,Rpl23,0.943
Rpl35a,Rpl23a,0.938
Rpl35a,Rpl24,0.943
Rpl35a,Rpl26,0.938
Rpl35a,Rpl27,0.943
Rpl35a,Rpl27a,0.938
Rpl35a,Rpl28,0.938
Rpl35a,Rpl29,0.887
Rpl35a,Rpl3,0.929
Rpl35a,Rpl30,0.943
Rpl35a,Rpl31,0.938
Rpl35a,Rpl32,0.938
Rpl35a,Rpl34,0.938
Rpl35a,Rpl35,0.888
Rpl35a,Rpl36a,0.87
Rpl35a,Rpl36al,0.893
Rpl35a,Rpl37,0.938
Rpl35a,Rpl37a,0.938
Rpl35a,Rpl38,0.938
Rpl35a,Rpl39,0.888
Rpl35a,Rpl3l,0.45
Rpl35a,Rpl4,0.938
Rpl35a,Rpl5,0.938
Rpl35a,Rpl6,0.943
Rpl35a,Rpl7,0.926
Rpl35a,Rpl7a,0.887
Rpl35a,Rpl8,0.938
Rpl35a,Rpl9,0.873
Rpl35a,Rplp0,0.938
Rpl35a,Rplp1,0.44
Rpl35a,Rplp2,0.552
Rpl35a,Rpn1,0.267
Rpl35a,Rps10,0.887
Rpl35a,Rps11,0.938
Rpl35a,Rps12,0.938
Rpl35a,Rps13,0.943
Rpl35a,Rps14,0.904
Rpl35a,Rps15,0.938
Rpl35a,Rps15a,0.887
Rpl35a,Rps16,0.943
Rpl35a,Rps17,0.895
Rpl35a,Rps18,0.896
Rpl35a,Rps18-ps5,0.39
Rpl35a,Rps2,0.938
Rpl35a,Rps20,0.938
Rpl35a,Rps21,0.938
Rpl35a,Rps23,0.938
Rpl35a,Rps24,0.943
Rpl35a,Rps25,0.943
Rpl35a,Rps26,0.943
Rpl35a,Rps27,0.873
Rpl35a,Rps27a,0.943
Rpl35a,Rps27l,0.393
Rpl35a,Rps27rt,0.873
Rpl35a,Rps28,0.938
Rpl35a,Rps29,0.938
Rpl35a,Rps3,0.938
Rpl35a,Rps3a1,0.942
Rpl35a,Rps4x,0.902
Rpl35a,Rps5,0.938
Rpl35a,Rps6,0.942
Rpl35a,Rps7,0.938
Rpl35a,Rps8,0.942
Rpl35a,Rps9,0.938
Rpl35a,Rpsa,0.938
Rpl35a,Rrp1b,0.394
Rpl35a,Rrs1,0.306
Rpl35a,Rsl1d1,0.545
Rpl35a,Rsl24d1,0.475
Rpl35a,Scyl2,0.314
Rpl35a,Sec31a,0.209
Rpl35a,Sec61a1,0.381
Rpl35a,Sec61a2,0.381
Rpl35a,Sec61b,0.395
Rpl35a,Sec61g,0.511
Rpl35a,Secisbp2,0.267
Rpl35a,Snu13,0.253
Rpl35a,Srp14,0.505
Rpl35a,Srp19,0.54
Rpl35a,Srp54a,0.351
Rpl35a,Srp54b,0.351
Rpl35a,Srp54c,0.351
Rpl35a,Srp68,0.558
Rpl35a,Srp72,0.499
Rpl35a,Srp9,0.525
Rpl35a,Srpr,0.381
Rpl35a,Srprb,0.381
Rpl35a,Top1,0.239
Rpl35a,Uba52,0.876
Rpl35a,Ubb,0.251
Rpl35a,Ubc,0.251
Rpl35a,Usp46,0.222
Rpl35a,Zfp593,0.517
Rpl36,Rpl18a,0.887
Rpl36a,Eef2,0.87
Rpl36a,Eif5b,0.344
Rpl36a,Fau,0.966
Rpl36a,Gm10320,0.242
Rpl36a,Gm2000,0.85
Rpl36a,Gm3550,0.281
Rpl36a,Rack1,0.87
Rpl36a,Rpl10,0.842
Rpl36a,Rpl10a,0.85
Rpl36a,Rpl10l,0.842
Rpl36a,Rpl11,0.87
Rpl36a,Rpl12,0.87
Rpl36a,Rpl13,0.87
Rpl36a,Rpl13a,0.868
Rpl36a,Rpl14,0.87
Rpl36a,Rpl15,0.87
Rpl36a,Rpl17,0.85
Rpl36a,Rpl18,0.87
Rpl36a,Rpl18a,0.87
Rpl36a,Rpl19,0.87
Rpl36a,Rpl21,0.87
Rpl36a,Rpl22,0.853
Rpl36a,Rpl22l1,0.283
Rpl36a,Rpl23,0.87
Rpl36a,Rpl23a,0.87
Rpl36a,Rpl24,0.87
Rpl36a,Rpl26,0.87
Rpl36a,Rpl27,0.87
Rpl36a,Rpl27a,0.87
Rpl36a,Rpl28,0.87
Rpl36a,Rpl29,0.85
Rpl36a,Rpl3,0.867
Rpl36a,Rpl30,0.87
Rpl36a,Rpl31,0.87
Rpl36a,Rpl32,0.87
Rpl36a,Rpl34,0.87
Rpl36a,Rpl35,0.85
Rpl36a,Rpl35a,0.87
Rpl36a,Rpl36al,0.8
Rpl36a,Rpl37,0.87
Rpl36a,Rpl37a,0.87
Rpl36a,Rpl38,0.87
Rpl36a,Rpl39,0.851
Rpl36a,Rpl3l,0.281
Rpl36a,Rpl4,0.87
Rpl36a,Rpl5,0.87
Rpl36a,Rpl6,0.87
Rpl36a,Rpl7,0.867
Rpl36a,Rpl7a,0.85
Rpl36a,Rpl8,0.87
Rpl36a,Rpl9,0.842
Rpl36a,Rplp0,0.87
Rpl36a,Rplp1,0.269
Rpl36a,Rplp2,0.266
Rpl36a,Rpn1,0.157
Rpl36a,Rps10,0.85
Rpl36a,Rps11,0.87
Rpl36a,Rps12,0.87
Rpl36a,Rps13,0.87
Rpl36a,Rps14,0.85
Rpl36a,Rps15,0.87
Rpl36a,Rps15a,0.85
Rpl36a,Rps16,0.87
Rpl36a,Rps17,0.855
Rpl36a,Rps18,0.842
Rpl36a,Rps18-ps5,0.243
Rpl36a,Rps2,0.87
Rpl36a,Rps20,0.87
Rpl36a,Rps21,0.87
Rpl36a,Rps23,0.87
Rpl36a,Rps24,0.87
Rpl36a,Rps25,0.87
Rpl36a,Rps26,0.87
Rpl36a,Rps27,0.842
Rpl36a,Rps27a,0.87
Rpl36a,Rps27l,0.244
Rpl36a,Rps27rt,0.842
Rpl36a,Rps28,0.87
Rpl36a,Rps29,0.87
Rpl36a,Rps3,0.87
Rpl36a,Rps3a1,0.87
Rpl36a,Rps4x,0.85
Rpl36a,Rps5,0.87
Rpl36a,Rps6,0.87
Rpl36a,Rps7,0.87
Rpl36a,Rps8,0.87
Rpl36a,Rps9,0.87
Rpl36a,Rpsa,0.87
Rpl36a,Sec61a1,0.218
Rpl36a,Sec61a2,0.218
Rpl36a,Sec61b,0.242
Rpl36a,Sec61g,0.287
Rpl36a,Snu13,0.152
Rpl36a,Srp14,0.24
Rpl36a,Srp19,0.259
Rpl36a,Srp54a,0.187
Rpl36a,Srp54b,0.187
Rpl36a,Srp54c,0.187
Rpl36a,Srp68,0.265
Rpl36a,Srp72,0.24
Rpl36a,Srp9,0.263
Rpl36a,Srpr,0.159
Rpl36a,Srprb,0.159
Rpl36a,Uba52,0.844
Rpl36a,Ubc,0.151
Rpl36al,Eif5b,0.344
Rpl36al,Fau,0.966
Rpl36al,Gm10320,0.242
Rpl36al,Gm2000,0.85
Rpl36al,Gm3550,0.281
Rpl36al,Rack1,0.87
Rpl36al,Rpl10,0.887
Rpl36al,Rpl10a,0.884
Rpl36al,Rpl10l,0.842
Rpl36al,Rpl11,0.906
Rpl36al,Rpl12,0.906
Rpl36al,Rpl13,0.907
Rpl36al,Rpl13a,0.893
Rpl36al,Rpl14,0.906
Rpl36al,Rpl15,0.906
Rpl36al,Rpl17,0.89
Rpl36al,Rpl18,0.905
Rpl36al,Rpl18a,0.906
Rpl36al,Rpl19,0.87
Rpl36al,Rpl21,0.909
Rpl36al,Rpl22,0.894
Rpl36al,Rpl22l1,0.283
Rpl36al,Rpl23,0.9
Rpl36al,Rpl23a,0.906
Rpl36al,Rpl24,0.905
Rpl36al,Rpl26,0.907
Rpl36al,Rpl27,0.903
Rpl36al,Rpl27a,0.87
Rpl36al,Rpl28,0.905
Rpl36al,Rpl29,0.895
Rpl36al,Rpl3,0.905
Rpl36al,Rpl30,0.906
Rpl36al,Rpl31,0.906
Rpl36al,Rpl32,0.87
Rpl36al,Rpl34,0.87
Rpl36al,Rpl35,0.892
Rpl36al,Rpl35a,0.893
Rpl36al,Rpl36a,0.8
Rpl36al,Rpl37,0.87
Rpl36al,Rpl37a,0.87
Rpl36al,Rpl38,0.906
Rpl36al,Rpl39,0.851
Rpl36al,Rpl3l,0.281
Rpl36al,Rpl4,0.906
Rpl36al,Rpl5,0.906
Rpl36al,Rpl6,0.894
Rpl36al,Rpl7,0.904
Rpl36al,Rpl7a,0.88
Rpl36al,Rpl8,0.906
Rpl36al,Rpl9,0.842
Rpl36al,Rplp0,0.894
Rpl36al,Rplp1,0.269
Rpl36al,Rplp2,0.475
Rpl36al,Rpn1,0.157
Rpl36al,Rps10,0.85
Rpl36al,Rps11,0.906
Rpl36al,Rps12,0.87
Rpl36al,Rps13,0.87
Rpl36al,Rps14,0.878
Rpl36al,Rps15,0.87
Rpl36al,Rps15a,0.85
Rpl36al,Rps16,0.87
Rpl36al,Rps17,0.855
Rpl36al,Rps18,0.842
Rpl36al,Rps18-ps5,0.243
Rpl36al,Rps2,0.87
Rpl36al,Rps20,0.87
Rpl36al,Rps21,0.87
Rpl36al,Rps23,0.906
Rpl36al,Rps24,0.87
Rpl36al,Rps25,0.87
Rpl36al,Rps26,0.87
Rpl36al,Rps27,0.842
Rpl36al,Rps27a,0.87
Rpl36al,Rps27l,0.244
Rpl36al,Rps27rt,0.842
Rpl36al,Rps28,0.87
Rpl36al,Rps29,0.87
Rpl36al,Rps3,0.87
Rpl36al,Rps3a1,0.894
Rpl36al,Rps4x,0.85
Rpl36al,Rps5,0.87
Rpl36al,Rps6,0.894
Rpl36al,Rps7,0.87
Rpl36al,Rps8,0.894
Rpl36al,Rps9,0.87
Rpl36al,Rpsa,0.906
Rpl36al,Sec61a1,0.218
Rpl36al,Sec61a2,0.218
Rpl36al,Sec61b,0.242
Rpl36al,Sec61g,0.287
Rpl36al,Srp14,0.24
Rpl36al,Srp19,0.259
Rpl36al,Srp54a,0.187
Rpl36al,Srp54b,0.187
Rpl36al,Srp54c,0.187
Rpl36al,Srp68,0.265
Rpl36al,Srp72,0.24
Rpl36al,Srp9,0.263
Rpl36al,Srpr,0.159
Rpl36al,Srprb,0.159
Rpl36al,Uba52,0.844
Rpl36al,Ubc,0.151
Rpl36al,Ubl4a,0.151
Rpl37,Cdh1,0.281
Rpl37,Eef1a1,0.215
Rpl37,Eef2,0.938
Rpl37,Eefsec,0.267
Rpl37,Etf1,0.267
Rpl37,Fau,0.972
Rpl37,Gm10320,0.392
Rpl37,Gm2000,0.888
Rpl37,Gm3550,0.457
Rpl37,Gm6525,0.41
Rpl37,Gspt2,0.207
Rpl37,Ifrd1,0.368
Rpl37,Ifrd2,0.368
Rpl37,Rack1,0.938
Rpl37,Rpf2,0.313
Rpl37,Rpl10,0.873
Rpl37,Rpl10a,0.887
Rpl37,Rpl10l,0.873
Rpl37,Rpl11,0.938
Rpl37,Rpl12,0.938
Rpl37,Rpl13,0.938
Rpl37,Rpl13a,0.922
Rpl37,Rpl14,0.938
Rpl37,Rpl15,0.938
Rpl37,Rpl17,0.887
Rpl37,Rpl18,0.938
Rpl37,Rpl18a,0.938
Rpl37,Rpl19,0.943
Rpl37,Rpl21,0.938
Rpl37,Rpl22,0.908
Rpl37,Rpl22l1,0.463
Rpl37,Rpl23,0.938
Rpl37,Rpl23a,0.938
Rpl37,Rpl24,0.938
Rpl37,Rpl26,0.938
Rpl37,Rpl27,0.938
Rpl37,Rpl27a,0.938
Rpl37,Rpl28,0.938
Rpl37,Rpl29,0.887
Rpl37,Rpl3,0.923
Rpl37,Rpl30,0.938
Rpl37,Rpl31,0.938
Rpl37,Rpl32,0.938
Rpl37,Rpl34,0.938
Rpl37,Rpl35,0.888
Rpl37,Rpl35a,0.938
Rpl37,Rpl36a,0.87
Rpl37,Rpl36al,0.87
Rpl37,Rpl37a,0.938
Rpl37,Rpl38,0.938
Rpl37,Rpl39,0.888
Rpl37,Rpl3l,0.457
Rpl37,Rpl4,0.938
Rpl37,Rpl5,0.938
Rpl37,Rpl6,0.938
Rpl37,Rpl7,0.921
Rpl37,Rpl7a,0.887
Rpl37,Rpl8,0.938
Rpl37,Rpl9,0.873
Rpl37,Rplp0,0.938
Rpl37,Rplp1,0.396
Rpl37,Rplp2,0.386
Rpl37,Rpn1,0.267
Rpl37,Rps10,0.887
Rpl37,Rps11,0.938
Rpl37,Rps12,0.938
Rpl37,Rps13,0.938
Rpl37,Rps14,0.898
Rpl37,Rps15,0.938
Rpl37,Rps15a,0.887
Rpl37,Rps16,0.938
Rpl37,Rps17,0.898
Rpl37,Rps18,0.873
Rpl37,Rps18-ps5,0.391
Rpl37,Rps2,0.938
Rpl37,Rps20,0.938
Rpl37,Rps21,0.938
Rpl37,Rps23,0.938
Rpl37,Rps24,0.938
Rpl37,Rps25,0.938
Rpl37,Rps26,0.938
Rpl37,Rps27,0.873
Rpl37,Rps27a,0.938
Rpl37,Rps27l,0.391
Rpl37,Rps27rt,0.873
Rpl37,Rps28,0.938
Rpl37,Rps29,0.938
Rpl37,Rps3,0.938
Rpl37,Rps3a1,0.938
Rpl37,Rps4x,0.887
Rpl37,Rps5,0.938
Rpl37,Rps6,0.938
Rpl37,Rps7,0.938
Rpl37,Rps8,0.938
Rpl37,Rps9,0.938
Rpl37,Rpsa,0.938
Rpl37,Sec61a1,0.379
Rpl37,Sec61a2,0.379
Rpl37,Sec61b,0.392
Rpl37,Sec61g,0.507
Rpl37,Secisbp2,0.267
Rpl37,Srp14,0.411
Rpl37,Srp19,0.512
Rpl37,Srp54a,0.345
Rpl37,Srp54b,0.345
Rpl37,Srp54c,0.345
Rpl37,Srp68,0.512
Rpl37,Srp72,0.411
Rpl37,Srp9,0.512
Rpl37,Srpr,0.381
Rpl37,Srprb,0.381
Rpl37,Uba52,0.877
Rpl37,Ubb,0.206
Rpl37,Ubc,0.206
Rpl37a,Ctps2,0.241
Rpl37a,Eed,0.292
Rpl37a,Eef1a1,0.215
Rpl37a,Eef2,0.938
Rpl37a,Eefsec,0.267
Rpl37a,Eif5b,0.583
Rpl37a,Eif6,0.808
Rpl37a,Etf1,0.267
Rpl37a,Fau,0.977
Rpl37a,Ftsj3,0.362
Rpl37a,Gm10320,0.395
Rpl37a,Gm2000,0.888
Rpl37a,Gm3550,0.457
Rpl37a,Gm6525,0.584
Rpl37a,Gnl2,0.563
Rpl37a,Gnl3,0.238
Rpl37a,Gnl3l,0.238
Rpl37a,Gspt1,0.2
Rpl37a,Gspt2,0.207
Rpl37a,Gtpbp4,0.56
Rpl37a,Lyar,0.377
Rpl37a,Nedd8,0.205
Rpl37a,Nifk,0.303
Rpl37a,Nop53,0.426
Rpl37a,Nsa2,0.684
Rpl37a,Rack1,0.938
Rpl37a,Rad23b,0.205
Rpl37a,Rpf2,0.385
Rpl37a,Rpl10,0.873
Rpl37a,Rpl10a,0.887
Rpl37a,Rpl10l,0.873
Rpl37a,Rpl11,0.938
Rpl37a,Rpl12,0.938
Rpl37a,Rpl13,0.938
Rpl37a,Rpl13a,0.938
Rpl37a,Rpl14,0.938
Rpl37a,Rpl15,0.938
Rpl37a,Rpl17,0.887
Rpl37a,Rpl18,0.938
Rpl37a,Rpl18a,0.938
Rpl37a,Rpl19,0.938
Rpl37a,Rpl21,0.938
Rpl37a,Rpl22,0.913
Rpl37a,Rpl22l1,0.463
Rpl37a,Rpl23,0.938
Rpl37a,Rpl23a,0.938
Rpl37a,Rpl24,0.938
Rpl37a,Rpl26,0.938
Rpl37a,Rpl27,0.938
Rpl37a,Rpl27a,0.938
Rpl37a,Rpl28,0.938
Rpl37a,Rpl29,0.887
Rpl37a,Rpl3,0.938
Rpl37a,Rpl30,0.938
Rpl37a,Rpl31,0.938
Rpl37a,Rpl32,0.938
Rpl37a,Rpl34,0.938
Rpl37a,Rpl35,0.888
Rpl37a,Rpl35a,0.938
Rpl37a,Rpl36a,0.87
Rpl37a,Rpl36al,0.87
Rpl37a,Rpl37,0.938
Rpl37a,Rpl38,0.938
Rpl37a,Rpl39,0.888
Rpl37a,Rpl3l,0.457
Rpl37a,Rpl4,0.938
Rpl37a,Rpl5,0.938
Rpl37a,Rpl6,0.938
Rpl37a,Rpl7,0.933
Rpl37a,Rpl7a,0.887
Rpl37a,Rpl7l1,0.463
Rpl37a,Rpl8,0.938
Rpl37a,Rpl9,0.873
Rpl37a,Rplp0,0.938
Rpl37a,Rplp1,0.454
Rpl37a,Rplp2,0.456
Rpl37a,Rpn1,0.267
Rpl37a,Rps10,0.887
Rpl37a,Rps11,0.938
Rpl37a,Rps12,0.938
Rpl37a,Rps13,0.938
Rpl37a,Rps14,0.908
Rpl37a,Rps15,0.938
Rpl37a,Rps15a,0.887
Rpl37a,Rps16,0.938
Rpl37a,Rps17,0.918
Rpl37a,Rps18,0.873
Rpl37a,Rps18-ps5,0.391
Rpl37a,Rps2,0.938
Rpl37a,Rps20,0.938
Rpl37a,Rps21,0.938
Rpl37a,Rps23,0.938
Rpl37a,Rps24,0.938
Rpl37a,Rps25,0.938
Rpl37a,Rps26,0.938
Rpl37a,Rps27,0.873
Rpl37a,Rps27a,0.938
Rpl37a,Rps27l,0.393
Rpl37a,Rps27rt,0.873
Rpl37a,Rps28,0.938
Rpl37a,Rps29,0.938
Rpl37a,Rps3,0.938
Rpl37a,Rps3a1,0.938
Rpl37a,Rps4x,0.887
Rpl37a,Rps5,0.938
Rpl37a,Rps6,0.938
Rpl37a,Rps7,0.938
Rpl37a,Rps8,0.938
Rpl37a,Rps9,0.938
Rpl37a,Rpsa,0.938
Rpl37a,Rrs1,0.381
Rpl37a,Rsl1d1,0.258
Rpl37a,Rsl24d1,0.478
Rpl37a,Sec61a1,0.381
Rpl37a,Sec61a2,0.381
Rpl37a,Sec61b,0.395
Rpl37a,Sec61g,0.511
Rpl37a,Secisbp2,0.267
Rpl37a,Serbp1,0.908
Rpl37a,Snu13,0.253
Rpl37a,Srp14,0.411
Rpl37a,Srp19,0.525
Rpl37a,Srp54a,0.342
Rpl37a,Srp54b,0.342
Rpl37a,Srp54c,0.342
Rpl37a,Srp68,0.536
Rpl37a,Srp72,0.465
Rpl37a,Srp9,0.536
Rpl37a,Srpr,0.377
Rpl37a,Srprb,0.377
Rpl37a,Uba52,0.877
Rpl37a,Ubc,0.251
Rpl37a,Ubl4a,0.251
Rpl37a,Ubqln1,0.205
Rpl37a,Ubqln2,0.205
Rpl37a,Ubqln4,0.205
Rpl37a,Ubqlnl,0.205
Rpl37a,Zfp593,0.517
Rpl38,Abcf2,0.267
Rpl38,Cul4a,0.221
Rpl38,Eed,0.292
Rpl38,Eef1a1,0.284
Rpl38,Eef2,0.943
Rpl38,Eefsec,0.267
Rpl38,Eftud2,0.378
Rpl38,Ehd4,0.206
Rpl38,Etf1,0.267
Rpl38,Fau,0.977
Rpl38,Gm10320,0.399
Rpl38,Gm2000,0.888
Rpl38,Gm3550,0.457
Rpl38,Gm6525,0.377
Rpl38,Gnl2,0.561
Rpl38,Gnl3,0.392
Rpl38,Gnl3l,0.392
Rpl38,Gspt2,0.242
Rpl38,Gtpbp4,0.607
Rpl38,Habp4,0.536
Rpl38,Lsg1,0.561
Rpl38,Nedd8,0.205
Rpl38,Nifk,0.562
Rpl38,Nle1,0.267
Rpl38,Nmt1,0.211
Rpl38,Nsa2,0.559
Rpl38,Otx2,0.292
Rpl38,Pes1,0.552
Rpl38,Rack1,0.946
Rpl38,Rad23b,0.205
Rpl38,Ric8a,0.222
Rpl38,Rpf2,0.385
Rpl38,Rpgrip1l,0.292
Rpl38,Rpl10,0.873
Rpl38,Rpl10a,0.887
Rpl38,Rpl10l,0.873
Rpl38,Rpl11,0.946
Rpl38,Rpl12,0.946
Rpl38,Rpl13,0.944
Rpl38,Rpl13a,0.92
Rpl38,Rpl14,0.946
Rpl38,Rpl15,0.946
Rpl38,Rpl17,0.917
Rpl38,Rpl18,0.946
Rpl38,Rpl18a,0.946
Rpl38,Rpl19,0.938
Rpl38,Rpl21,0.946
Rpl38,Rpl22,0.926
Rpl38,Rpl22l1,0.459
Rpl38,Rpl23,0.946
Rpl38,Rpl23a,0.946
Rpl38,Rpl24,0.946
Rpl38,Rpl26,0.946
Rpl38,Rpl27,0.938
Rpl38,Rpl27a,0.938
Rpl38,Rpl28,0.944
Rpl38,Rpl29,0.887
Rpl38,Rpl3,0.943
Rpl38,Rpl30,0.946
Rpl38,Rpl31,0.946
Rpl38,Rpl32,0.946
Rpl38,Rpl34,0.938
Rpl38,Rpl35,0.888
Rpl38,Rpl35a,0.938
Rpl38,Rpl36a,0.87
Rpl38,Rpl36al,0.906
Rpl38,Rpl37,0.938
Rpl38,Rpl37a,0.938
Rpl38,Rpl39,0.917
Rpl38,Rpl3l,0.446
Rpl38,Rpl4,0.946
Rpl38,Rpl5,0.946
Rpl38,Rpl6,0.942
Rpl38,Rpl7,0.941
Rpl38,Rpl7a,0.908
Rpl38,Rpl8,0.946
Rpl38,Rpl9,0.907
Rpl38,Rplp0,0.944
Rpl38,Rplp1,0.607
Rpl38,Rplp2,0.608
Rpl38,Rpn1,0.267
Rpl38,Rps10,0.917
Rpl38,Rps11,0.946
Rpl38,Rps12,0.938
Rpl38,Rps13,0.943
Rpl38,Rps14,0.906
Rpl38,Rps15,0.938
Rpl38,Rps15a,0.917
Rpl38,Rps16,0.943
Rpl38,Rps17,0.898
Rpl38,Rps18,0.909
Rpl38,Rps18-ps5,0.389
Rpl38,Rps2,0.943
Rpl38,Rps20,0.946
Rpl38,Rps21,0.938
Rpl38,Rps23,0.946
Rpl38,Rps24,0.938
Rpl38,Rps25,0.946
Rpl38,Rps26,0.944
Rpl38,Rps27,0.873
Rpl38,Rps27a,0.938
Rpl38,Rps27l,0.393
Rpl38,Rps27rt,0.873
Rpl38,Rps28,0.938
Rpl38,Rps29,0.938
Rpl38,Rps3,0.942
Rpl38,Rps3a1,0.943
Rpl38,Rps4x,0.903
Rpl38,Rps5,0.943
Rpl38,Rps6,0.938
Rpl38,Rps7,0.946
Rpl38,Rps8,0.943
Rpl38,Rps9,0.938
Rpl38,Rpsa,0.946
Rpl38,Sdad1,0.337
Rpl38,Sec61a1,0.381
Rpl38,Sec61a2,0.381
Rpl38,Sec61b,0.399
Rpl38,Sec61g,0.511
Rpl38,Secisbp2,0.267
Rpl38,Srp14,0.505
Rpl38,Srp19,0.542
Rpl38,Srp54a,0.351
Rpl38,Srp54b,0.351
Rpl38,Srp54c,0.351
Rpl38,Srp68,0.552
Rpl38,Srp72,0.493
Rpl38,Srp9,0.525
Rpl38,Srpr,0.381
Rpl38,Srprb,0.396
Rpl38,Tpt1,0.316
Rpl38,Tubgcp4,0.213
Rpl38,Uba52,0.877
Rpl38,Ubc,0.251
Rpl38,Ubl4a,0.251
Rpl38,Ubqln1,0.205
Rpl38,Ubqln2,0.205
Rpl38,Ubqln4,0.205
Rpl38,Ubqlnl,0.205
Rpl38,Zfp593,0.571
Rpl39,Brix1,0.207
Rpl39,Cd74,0.377
Rpl39,Ebna1bp2,0.207
Rpl39,Eed,0.292
Rpl39,Eef1a1,0.301
Rpl39,Eef2,0.917
Rpl39,Eefsec,0.157
Rpl39,Etf1,0.157
Rpl39,Fau,0.972
Rpl39,Ftsj3,0.402
Rpl39,Gcn1,0.207
Rpl39,Gm10320,0.369
Rpl39,Gm2000,0.87
Rpl39,Gm3550,0.378
Rpl39,Gm6525,0.284
